Customer_id,CUSTOMERNAME,CONTACTLASTNAME,CONTACTFIRSTNAME,CITY,COUNTRY,POSTALCODE,DEALSIZE
CUS1002,Online Diecast Creations Co.,Young,Valarie,Nashua,USA,62005,Small
CUS1002,Online Diecast Creations Co.,Young,Valarie,Nashua,USA,62005,Medium
CUS1002,Online Diecast Creations Co.,Young,Valarie,Nashua,USA,62005,Medium
CUS1002,Online Diecast Creations Co.,Young,Valarie,Nashua,USA,62005,Small
CUS1003,"Blauer See Auto, Co.",Keitel,Roland,Frankfurt,Germany,60528,Medium
CUS1003,"Blauer See Auto, Co.",Keitel,Roland,Frankfurt,Germany,60528,Small
CUS1003,"Blauer See Auto, Co.",Keitel,Roland,Frankfurt,Germany,60528,Small
CUS1003,"Blauer See Auto, Co.",Keitel,Roland,Frankfurt,Germany,60528,Medium
CUS1004,Vitachrome Inc.,Frick,Michael,NYC,USA,10022,Small
CUS1004,Vitachrome Inc.,Frick,Michael,NYC,USA,10022,Medium
CUS1005,Baane Mini Imports,Bergulfsen,Jonas,Stavern,Norway,4110,Medium
CUS1005,Baane Mini Imports,Bergulfsen,Jonas,Stavern,Norway,4110,Small
CUS1005,Baane Mini Imports,Bergulfsen,Jonas,Stavern,Norway,4110,Medium
CUS1005,Baane Mini Imports,Bergulfsen,Jonas,Stavern,Norway,4110,Medium
CUS1005,Baane Mini Imports,Bergulfsen,Jonas,Stavern,Norway,4110,Medium
CUS1005,Baane Mini Imports,Bergulfsen,Jonas,Stavern,Norway,4110,Medium
CUS1005,Baane Mini Imports,Bergulfsen,Jonas,Stavern,Norway,4110,Medium
CUS1005,Baane Mini Imports,Bergulfsen,Jonas,Stavern,Norway,4110,Medium
CUS1005,Baane Mini Imports,Bergulfsen,Jonas,Stavern,Norway,4110,Small
CUS1005,Baane Mini Imports,Bergulfsen,Jonas,Stavern,Norway,4110,Medium
CUS1005,Baane Mini Imports,Bergulfsen,Jonas,Stavern,Norway,4110,Medium
CUS1005,Baane Mini Imports,Bergulfsen,Jonas,Stavern,Norway,4110,Small
CUS1005,Baane Mini Imports,Bergulfsen,Jonas,Stavern,Norway,4110,Small
CUS1005,Baane Mini Imports,Bergulfsen,Jonas,Stavern,Norway,4110,Small
CUS1005,Baane Mini Imports,Bergulfsen,Jonas,Stavern,Norway,4110,Small
CUS1005,Baane Mini Imports,Bergulfsen,Jonas,Stavern,Norway,4110,Medium
CUS1006,Euro Shopping Channel,Freyre,Diego,Madrid,Spain,28034,Medium
CUS1006,Euro Shopping Channel,Freyre,Diego,Madrid,Spain,28034,Small
CUS1006,Euro Shopping Channel,Freyre,Diego,Madrid,Spain,28034,Medium
CUS1006,Euro Shopping Channel,Freyre,Diego,Madrid,Spain,28034,Medium
CUS1006,Euro Shopping Channel,Freyre,Diego,Madrid,Spain,28034,Small
CUS1006,Euro Shopping Channel,Freyre,Diego,Madrid,Spain,28034,Small
CUS1006,Euro Shopping Channel,Freyre,Diego,Madrid,Spain,28034,Medium
CUS1006,Euro Shopping Channel,Freyre,Diego,Madrid,Spain,28034,Medium
CUS1006,Euro Shopping Channel,Freyre,Diego,Madrid,Spain,28034,Medium
CUS1006,Euro Shopping Channel,Freyre,Diego,Madrid,Spain,28034,Small
CUS1006,Euro Shopping Channel,Freyre,Diego,Madrid,Spain,28034,Small
CUS1006,Euro Shopping Channel,Freyre,Diego,Madrid,Spain,28034,Medium
CUS1006,Euro Shopping Channel,Freyre,Diego,Madrid,Spain,28034,Medium
CUS1007,Danish Wholesale Imports,Petersen,Jytte,Kobenhavn,Denmark,1734,Medium
CUS1007,Danish Wholesale Imports,Petersen,Jytte,Kobenhavn,Denmark,1734,Large
CUS1007,Danish Wholesale Imports,Petersen,Jytte,Kobenhavn,Denmark,1734,Small
CUS1007,Danish Wholesale Imports,Petersen,Jytte,Kobenhavn,Denmark,1734,Medium
CUS1007,Danish Wholesale Imports,Petersen,Jytte,Kobenhavn,Denmark,1734,Small
CUS1007,Danish Wholesale Imports,Petersen,Jytte,Kobenhavn,Denmark,1734,Medium
CUS1007,Danish Wholesale Imports,Petersen,Jytte,Kobenhavn,Denmark,1734,Small
CUS1007,Danish Wholesale Imports,Petersen,Jytte,Kobenhavn,Denmark,1734,Small
CUS1007,Danish Wholesale Imports,Petersen,Jytte,Kobenhavn,Denmark,1734,Medium
CUS1007,Danish Wholesale Imports,Petersen,Jytte,Kobenhavn,Denmark,1734,Medium
CUS1007,Danish Wholesale Imports,Petersen,Jytte,Kobenhavn,Denmark,1734,Medium
CUS1007,Danish Wholesale Imports,Petersen,Jytte,Kobenhavn,Denmark,1734,Small
CUS1007,Danish Wholesale Imports,Petersen,Jytte,Kobenhavn,Denmark,1734,Medium
CUS1007,Danish Wholesale Imports,Petersen,Jytte,Kobenhavn,Denmark,1734,Medium
CUS1007,Danish Wholesale Imports,Petersen,Jytte,Kobenhavn,Denmark,1734,Large
CUS1008,Rovelli Gifts,Rovelli,Giovanni,Bergamo,Italy,24100,Medium
CUS1008,Rovelli Gifts,Rovelli,Giovanni,Bergamo,Italy,24100,Medium
CUS1008,Rovelli Gifts,Rovelli,Giovanni,Bergamo,Italy,24100,Small
CUS1008,Rovelli Gifts,Rovelli,Giovanni,Bergamo,Italy,24100,Small
CUS1008,Rovelli Gifts,Rovelli,Giovanni,Bergamo,Italy,24100,Small
CUS1008,Rovelli Gifts,Rovelli,Giovanni,Bergamo,Italy,24100,Small
CUS1008,Rovelli Gifts,Rovelli,Giovanni,Bergamo,Italy,24100,Medium
CUS1008,Rovelli Gifts,Rovelli,Giovanni,Bergamo,Italy,24100,Medium
CUS1008,Rovelli Gifts,Rovelli,Giovanni,Bergamo,Italy,24100,Medium
CUS1008,Rovelli Gifts,Rovelli,Giovanni,Bergamo,Italy,24100,Small
CUS1008,Rovelli Gifts,Rovelli,Giovanni,Bergamo,Italy,24100,Medium
CUS1008,Rovelli Gifts,Rovelli,Giovanni,Bergamo,Italy,24100,Medium
CUS1008,Rovelli Gifts,Rovelli,Giovanni,Bergamo,Italy,24100,Medium
CUS1008,Rovelli Gifts,Rovelli,Giovanni,Bergamo,Italy,24100,Small
CUS1008,Rovelli Gifts,Rovelli,Giovanni,Bergamo,Italy,24100,Small
CUS1008,Rovelli Gifts,Rovelli,Giovanni,Bergamo,Italy,24100,Medium
CUS1008,Rovelli Gifts,Rovelli,Giovanni,Bergamo,Italy,24100,Medium
CUS1008,Rovelli Gifts,Rovelli,Giovanni,Bergamo,Italy,24100,Medium
CUS1009,Land of Toys Inc.,Yu,Kwai,NYC,USA,10022,Medium
CUS1009,Land of Toys Inc.,Yu,Kwai,NYC,USA,10022,Small
CUS1009,Land of Toys Inc.,Yu,Kwai,NYC,USA,10022,Small
CUS1009,Land of Toys Inc.,Yu,Kwai,NYC,USA,10022,Medium
CUS1009,Land of Toys Inc.,Yu,Kwai,NYC,USA,10022,Medium
CUS1009,Land of Toys Inc.,Yu,Kwai,NYC,USA,10022,Small
CUS1009,Land of Toys Inc.,Yu,Kwai,NYC,USA,10022,Medium
CUS1009,Land of Toys Inc.,Yu,Kwai,NYC,USA,10022,Small
CUS10010,Cruz & Sons Co.,Cruz,Arnold,Makati City,Philippines,1227 MM,Medium
CUS10010,Cruz & Sons Co.,Cruz,Arnold,Makati City,Philippines,1227 MM,Medium
CUS10010,Cruz & Sons Co.,Cruz,Arnold,Makati City,Philippines,1227 MM,Medium
CUS10010,Cruz & Sons Co.,Cruz,Arnold,Makati City,Philippines,1227 MM,Medium
CUS10010,Cruz & Sons Co.,Cruz,Arnold,Makati City,Philippines,1227 MM,Small
CUS10010,Cruz & Sons Co.,Cruz,Arnold,Makati City,Philippines,1227 MM,Medium
CUS10010,Cruz & Sons Co.,Cruz,Arnold,Makati City,Philippines,1227 MM,Medium
CUS10010,Cruz & Sons Co.,Cruz,Arnold,Makati City,Philippines,1227 MM,Medium
CUS10010,Cruz & Sons Co.,Cruz,Arnold,Makati City,Philippines,1227 MM,Small
CUS10010,Cruz & Sons Co.,Cruz,Arnold,Makati City,Philippines,1227 MM,Small
CUS10010,Cruz & Sons Co.,Cruz,Arnold,Makati City,Philippines,1227 MM,Medium
CUS10010,Cruz & Sons Co.,Cruz,Arnold,Makati City,Philippines,1227 MM,Small
CUS10010,Cruz & Sons Co.,Cruz,Arnold,Makati City,Philippines,1227 MM,Small
CUS10010,Cruz & Sons Co.,Cruz,Arnold,Makati City,Philippines,1227 MM,Small
CUS10010,Cruz & Sons Co.,Cruz,Arnold,Makati City,Philippines,1227 MM,Small
CUS10010,Cruz & Sons Co.,Cruz,Arnold,Makati City,Philippines,1227 MM,Medium
CUS10011,Motor Mint Distributors Inc.,Hernandez,Rosa,Philadelphia,USA,71270,Medium
CUS10011,Motor Mint Distributors Inc.,Hernandez,Rosa,Philadelphia,USA,71270,Medium
CUS10011,Motor Mint Distributors Inc.,Hernandez,Rosa,Philadelphia,USA,71270,Medium
CUS10011,Motor Mint Distributors Inc.,Hernandez,Rosa,Philadelphia,USA,71270,Medium
CUS10011,Motor Mint Distributors Inc.,Hernandez,Rosa,Philadelphia,USA,71270,Large
CUS10011,Motor Mint Distributors Inc.,Hernandez,Rosa,Philadelphia,USA,71270,Small
CUS10012,"AV Stores, Co.",Ashworth,Victoria,Manchester,UK,EC2 5NT,Medium
CUS10012,"AV Stores, Co.",Ashworth,Victoria,Manchester,UK,EC2 5NT,Small
CUS10012,"AV Stores, Co.",Ashworth,Victoria,Manchester,UK,EC2 5NT,Small
CUS10012,"AV Stores, Co.",Ashworth,Victoria,Manchester,UK,EC2 5NT,Medium
CUS10012,"AV Stores, Co.",Ashworth,Victoria,Manchester,UK,EC2 5NT,Small
CUS10012,"AV Stores, Co.",Ashworth,Victoria,Manchester,UK,EC2 5NT,Small
CUS10012,"AV Stores, Co.",Ashworth,Victoria,Manchester,UK,EC2 5NT,Medium
CUS10012,"AV Stores, Co.",Ashworth,Victoria,Manchester,UK,EC2 5NT,Small
CUS10012,"AV Stores, Co.",Ashworth,Victoria,Manchester,UK,EC2 5NT,Small
CUS10012,"AV Stores, Co.",Ashworth,Victoria,Manchester,UK,EC2 5NT,Medium
CUS10012,"AV Stores, Co.",Ashworth,Victoria,Manchester,UK,EC2 5NT,Medium
CUS10012,"AV Stores, Co.",Ashworth,Victoria,Manchester,UK,EC2 5NT,Small
CUS10012,"AV Stores, Co.",Ashworth,Victoria,Manchester,UK,EC2 5NT,Medium
CUS10012,"AV Stores, Co.",Ashworth,Victoria,Manchester,UK,EC2 5NT,Medium
CUS10012,"AV Stores, Co.",Ashworth,Victoria,Manchester,UK,EC2 5NT,Small
CUS10012,"AV Stores, Co.",Ashworth,Victoria,Manchester,UK,EC2 5NT,Medium
CUS10013,"Volvo Model Replicas, Co",Berglund,Christina,Lule,Sweden,S-958 22,Large
CUS10013,"Volvo Model Replicas, Co",Berglund,Christina,Lule,Sweden,S-958 22,Small
CUS10014,Mini Gifts Distributors Ltd.,Nelson,Valarie,San Rafael,USA,97562,Small
CUS10014,Mini Gifts Distributors Ltd.,Nelson,Valarie,San Rafael,USA,97562,Medium
CUS10014,Mini Gifts Distributors Ltd.,Nelson,Valarie,San Rafael,USA,97562,Small
CUS10014,Mini Gifts Distributors Ltd.,Nelson,Valarie,San Rafael,USA,97562,Medium
CUS10015,"La Corne D'abondance, Co.",Bertrand,Marie,Paris,France,75012,Small
CUS10015,"La Corne D'abondance, Co.",Bertrand,Marie,Paris,France,75012,Small
CUS10015,"La Corne D'abondance, Co.",Bertrand,Marie,Paris,France,75012,Medium
CUS10015,"La Corne D'abondance, Co.",Bertrand,Marie,Paris,France,75012,Large
